Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
400,1.600000,-0.003202,0.006849,1.441351
401,1.604000,-0.003148,0.006912,1.441354
402,1.608000,-0.003154,0.006912,1.441348
403,1.612000,-0.003138,0.006917,1.441338
404,1.616000,-0.003163,0.006921,1.441350
405,1.620000,-0.003159,0.006910,1.441369
406,1.624000,-0.003149,0.006903,1.441339
407,1.628000,-0.003160,0.006902,1.441352
408,1.632000,-0.003195,0.006872,1.441360
409,1.636000,-0.003205,0.006855,1.441356
410,1.640000,-0.003198,0.006882,1.441355
411,1.644000,-0.003210,0.006851,1.441350
412,1.648000,-0.003145,0.006903,1.441352
413,1.652000,-0.003178,0.006882,1.441350
414,1.656000,-0.003150,0.006913,1.441342
415,1.660000,-0.003144,0.006931,1.441350
416,1.664000,-0.003130,0.006937,1.441357
417,1.668000,-0.003168,0.006921,1.441345
418,1.672000,-0.003178,0.006916,1.441350
419,1.676000,-0.003197,0.006896,1.441351
420,1.680000,-0.003205,0.006871,1.441343
421,1.684000,-0.003185,0.006892,1.441351
422,1.688000,-0.003181,0.006907,1.441349
423,1.692000,-0.003229,0.006863,1.441346
424,1.696000,-0.003203,0.006893,1.441344
425,1.700000,-0.003222,0.006890,1.441336
426,1.704000,-0.003229,0.006874,1.441349
427,1.708000,-0.003210,0.006894,1.441347
428,1.712000,-0.003228,0.006872,1.441343
429,1.716000,-0.003217,0.006875,1.441352
430,1.720000,-0.003237,0.006880,1.441358
431,1.724000,-0.003251,0.006861,1.441338
432,1.728000,-0.003182,0.006906,1.441354
433,1.732000,-0.003189,0.006920,1.441346
434,1.736000,-0.003207,0.006870,1.441356
435,1.740000,-0.003159,0.006954,1.441354
436,1.744000,-0.003179,0.006914,1.441353
437,1.748000,-0.003206,0.006874,1.441363
438,1.752000,-0.003187,0.006910,1.441364
439,1.756000,-0.003196,0.006869,1.441348
440,1.760000,-0.003196,0.006878,1.441340
441,1.764000,-0.003230,0.006826,1.441333
442,1.768000,-0.003173,0.006913,1.441348
443,1.772000,-0.003207,0.006865,1.441345
444,1.776000,-0.003158,0.006901,1.441360
445,1.780000,-0.003159,0.006920,1.441353
446,1.784000,-0.003180,0.006889,1.441353
447,1.788000,-0.003190,0.006905,1.441352
448,1.792000,-0.003189,0.006884,1.441357
449,1.796000,-0.003191,0.006882,1.441355
450,1.800000,-0.003175,0.006909,1.441360
451,1.804000,-0.003196,0.006906,1.441360
452,1.808000,-0.003205,0.006902,1.441344
453,1.812000,-0.003175,0.006920,1.441362
454,1.816000,-0.003206,0.006895,1.441358
455,1.820000,-0.003203,0.006882,1.441341
456,1.824000,-0.003210,0.006882,1.441368
457,1.828000,-0.003213,0.006876,1.441345
458,1.832000,-0.003247,0.006876,1.441342
459,1.836000,-0.003242,0.006840,1.441352
460,1.840000,-0.003278,0.006827,1.441345
461,1.844000,-0.003216,0.006878,1.441337
462,1.848000,-0.003226,0.006870,1.441355
463,1.852000,-0.003230,0.006923,1.441341
464,1.856000,-0.003204,0.006921,1.441355
465,1.860000,-0.003223,0.006894,1.441356
466,1.864000,-0.003215,0.006901,1.441358
467,1.868000,-0.003242,0.006882,1.441352
468,1.872000,-0.003218,0.006896,1.441341
469,1.876000,-0.003247,0.006866,1.441332
470,1.880000,-0.003278,0.006831,1.441328
471,1.884000,-0.003285,0.006843,1.441358
472,1.888000,-0.003287,0.006845,1.441338
473,1.892000,-0.003266,0.006861,1.441363
474,1.896000,-0.003272,0.006836,1.441362
475,1.900000,-0.003245,0.006864,1.441358
476,1.904000,-0.003250,0.006881,1.441346
477,1.908000,-0.003258,0.006897,1.441349
478,1.912000,-0.003257,0.006874,1.441331
479,1.916000,-0.003268,0.006858,1.441361
480,1.920000,-0.003249,0.006915,1.441352
481,1.924000,-0.003264,0.006873,1.441350
482,1.928000,-0.003261,0.006876,1.441346
